Sample Period , 25.000
Samples per division , 25
Trigger Signal , [1] 속도 명령
Trigger Mode , [2] 상승 시점
Trigger Threshold , 5
Pretrigger , 10
Time (ms) , [0] 속도 피드백 (RPM) , [19] 모터 부하율 (%)
0 , -2977.000 , 91.000
25 , -2981.000 , 75.000
50 , -2972.000 , 83.000
75 , -2960.000 , 73.000
100 , -2905.000 , 73.000
125 , -2835.000 , 70.000
150 , -2734.000 , 57.000
175 , -2594.000 , 56.000
200 , -2427.000 , 60.000
225 , -2239.000 , 52.000
250 , -2018.000 , 42.000
275 , -1766.000 , 35.000
300 , -1492.000 , 30.000
325 , -1224.000 , 28.000
350 , -971.000 , 25.000
375 , -750.000 , 28.000
400 , -559.000 , 28.000
425 , -395.000 , 24.000
450 , -260.000 , 22.000
475 , -156.000 , 21.000
500 , -80.000 , 22.000
525 , -32.000 , 25.000
550 , -19.000 , 30.000
575 , -13.000 , 31.000
600 , -8.000 , 33.000
625 , -4.000 , 33.000
650 , -3.000 , 34.000
675 , -2.000 , 34.000
700 , -1.000 , 33.000
725 , -1.000 , 33.000
750 , 1.000 , 20.000
775 , 14.000 , 30.000
800 , 93.000 , 46.000
825 , 179.000 , 55.000
850 , 294.000 , 66.000
875 , 438.000 , 77.000
900 , 615.000 , 82.000
925 , 821.000 , 93.000
950 , 1056.000 , 101.000
975 , 1323.000 , 106.000
1000 , 1599.000 , 107.000
1025 , 1860.000 , 113.000
1050 , 2103.000 , 106.000
1075 , 2317.000 , 102.000
1100 , 2498.000 , 103.000
1125 , 2653.000 , 95.000
1150 , 2778.000 , 89.000
1175 , 2862.000 , 87.000
1200 , 2923.000 , 89.000
1225 , 2966.000 , 83.000
1250 , 2970.000 , 84.000
1275 , 2979.000 , 74.000
1300 , 2979.000 , 79.000
1325 , 2981.000 , 78.000
1350 , 2977.000 , 72.000
1375 , 2978.000 , 85.000
1400 , 2983.000 , 75.000
1425 , 2975.000 , 89.000
1450 , 2982.000 , 88.000
1475 , 2977.000 , 78.000
1500 , 2979.000 , 85.000
1525 , 2982.000 , 73.000
1550 , 2976.000 , 82.000
1575 , 2982.000 , 81.000
1600 , 2978.000 , 83.000
1625 , 2981.000 , 79.000
1650 , 2979.000 , 83.000
1675 , 2981.000 , 80.000
1700 , 2976.000 , 73.000
1725 , 2966.000 , 81.000
1750 , 2934.000 , 66.000
1775 , 2863.000 , 78.000
1800 , 2776.000 , 68.000
1825 , 2656.000 , 53.000
1850 , 2505.000 , 55.000
1875 , 2320.000 , 49.000
1900 , 2112.000 , 42.000
1925 , 1870.000 , 38.000
1950 , 1599.000 , 32.000
1975 , 1325.000 , 33.000
2000 , 1068.000 , 27.000
2025 , 834.000 , 30.000
2050 , 630.000 , 29.000
2075 , 458.000 , 24.000
2100 , 311.000 , 23.000
2125 , 193.000 , 22.000
2150 , 106.000 , 22.000
2175 , 47.000 , 24.000
2200 , 21.000 , 30.000
2225 , 15.000 , 32.000
2250 , 9.000 , 34.000
2275 , 5.000 , 34.000
2300 , 3.000 , 34.000
2325 , 2.000 , 34.000
2350 , 0.000 , 31.000
2375 , -7.000 , 2.000
2400 , -57.000 , 48.000
2425 , -138.000 , 52.000
2450 , -243.000 , 61.000
2475 , -377.000 , 69.000
2500 , -542.000 , 77.000
2525 , -735.000 , 86.000
2550 , -958.000 , 95.000
2575 , -1214.000 , 101.000
2600 , -1486.000 , 108.000
2625 , -1760.000 , 105.000
2650 , -2010.000 , 107.000
2675 , -2231.000 , 108.000
2700 , -2425.000 , 102.000
2725 , -2591.000 , 98.000
2750 , -2722.000 , 97.000
2775 , -2828.000 , 99.000
2800 , -2914.000 , 85.000
2825 , -2947.000 , 89.000
2850 , -2970.000 , 90.000
2875 , -2980.000 , 75.000
2900 , -2978.000 , 83.000
2925 , -2978.000 , 76.000
2950 , -2977.000 , 86.000
2975 , -2981.000 , 76.000
3000 , -2978.000 , 85.000
3025 , -2983.000 , 73.000
3050 , -2976.000 , 77.000
3075 , -2982.000 , 82.000
3100 , -2981.000 , 72.000
3125 , -2978.000 , 85.000
3150 , -2982.000 , 80.000
3175 , -2975.000 , 81.000
3200 , -2984.000 , 84.000
