Sample Period , 25.000
Samples per division , 25
Trigger Signal , [1] 속도 명령
Trigger Mode , [2] 상승 시점
Trigger Threshold , 5
Pretrigger , 10
Time (ms) , [0] 속도 피드백 (RPM) , [19] 모터 부하율 (%)
0 , -2251.000 , 9.000
25 , -2628.000 , 7.000
50 , -2939.000 , 1.000
75 , -3185.000 , 3.000
100 , -3338.000 , 3.000
125 , -3457.000 , 11.000
150 , -3476.000 , 9.000
175 , -3481.000 , 15.000
200 , -3494.000 , 15.000
225 , -3477.000 , 10.000
250 , -3440.000 , 19.000
275 , -3346.000 , 23.000
300 , -3163.000 , 24.000
325 , -2922.000 , 35.000
350 , -2605.000 , 34.000
375 , -2218.000 , 42.000
400 , -1768.000 , 42.000
425 , -1322.000 , 47.000
450 , -926.000 , 45.000
475 , -606.000 , 40.000
500 , -352.000 , 37.000
525 , -169.000 , 34.000
550 , -57.000 , 30.000
575 , -13.000 , 27.000
600 , -3.000 , 27.000
625 , -1.000 , 27.000
650 , 0.000 , 27.000
675 , 0.000 , 28.000
700 , 0.000 , 28.000
725 , 0.000 , 28.000
750 , 1.000 , 30.000
775 , 28.000 , 40.000
800 , 122.000 , 48.000
825 , 283.000 , 54.000
850 , 512.000 , 60.000
875 , 813.000 , 67.000
900 , 1185.000 , 72.000
925 , 1629.000 , 79.000
950 , 2078.000 , 79.000
975 , 2490.000 , 77.000
1000 , 2823.000 , 72.000
1025 , 3094.000 , 74.000
1050 , 3286.000 , 65.000
1075 , 3423.000 , 61.000
1100 , 3469.000 , 61.000
1125 , 3482.000 , 55.000
1150 , 3492.000 , 57.000
1175 , 3481.000 , 59.000
1200 , 3462.000 , 51.000
1225 , 3398.000 , 45.000
1250 , 3236.000 , 49.000
1275 , 3027.000 , 36.000
1300 , 2739.000 , 38.000
1325 , 2381.000 , 27.000
1350 , 1958.000 , 24.000
1375 , 1496.000 , 19.000
1400 , 1076.000 , 25.000
1425 , 726.000 , 30.000
1450 , 443.000 , 32.000
1475 , 235.000 , 34.000
1500 , 94.000 , 36.000
1525 , 24.000 , 39.000
1550 , 5.000 , 41.000
1575 , 2.000 , 41.000
1600 , 1.000 , 41.000
1625 , 0.000 , 40.000
1650 , 0.000 , 40.000
1675 , 0.000 , 40.000
1700 , -16.000 , 29.000
1725 , -100.000 , 21.000
1750 , -246.000 , 15.000
1775 , -458.000 , 8.000
1800 , -748.000 , 1.000
1825 , -1105.000 , 5.000
1850 , -1532.000 , 13.000
1875 , -1995.000 , 9.000
1900 , -2408.000 , 9.000
1925 , -2768.000 , 5.000
1950 , -3035.000 , 3.000
1975 , -3262.000 , 5.000
2000 , -3396.000 , 4.000
2025 , -3462.000 , 13.000
2050 , -3492.000 , 15.000
2075 , -3483.000 , 10.000
2100 , -3488.000 , 14.000
2125 , -3477.000 , 17.000
2150 , -3406.000 , 15.000
2175 , -3280.000 , 24.000
2200 , -3083.000 , 26.000
2225 , -2799.000 , 31.000
2250 , -2468.000 , 42.000
2275 , -2043.000 , 45.000
2300 , -1591.000 , 45.000
2325 , -1152.000 , 48.000
2350 , -789.000 , 40.000
2375 , -497.000 , 39.000
2400 , -272.000 , 37.000
2425 , -116.000 , 34.000
2450 , -32.000 , 29.000
2475 , -7.000 , 27.000
2500 , -2.000 , 27.000
2525 , -1.000 , 27.000
2550 , 0.000 , 27.000
2575 , 0.000 , 28.000
2600 , 0.000 , 28.000
2625 , 0.000 , 29.000
2650 , 17.000 , 38.000
2675 , 99.000 , 46.000
2700 , 245.000 , 53.000
2725 , 461.000 , 59.000
2750 , 748.000 , 65.000
2775 , 1101.000 , 77.000
2800 , 1535.000 , 77.000
2825 , 1988.000 , 76.000
2850 , 2414.000 , 78.000
2875 , 2770.000 , 70.000
2900 , 3041.000 , 70.000
2925 , 3258.000 , 64.000
2950 , 3400.000 , 65.000
2975 , 3461.000 , 62.000
3000 , 3488.000 , 53.000
3025 , 3485.000 , 56.000
3050 , 3482.000 , 58.000
